Date,Open,High,Low,Close,Adj Close,Volume
2019-08-09,53.840000,53.840000,52.799999,53.099998,53.099998,446700
2019-08-12,52.480000,52.570000,51.799999,52.220001,52.220001,702100
2019-08-13,52.369999,53.680000,52.070000,53.270000,53.270000,755400
2019-08-14,52.169998,52.939999,51.930000,52.500000,52.500000,702400
2019-08-15,52.580002,52.959999,52.169998,52.650002,52.650002,551600
2019-08-16,53.400002,54.759998,53.400002,54.540001,54.540001,886900
2019-08-19,55.299999,55.770000,54.419998,54.570000,54.570000,602300
2019-08-20,54.599998,55.259998,54.299999,54.709999,54.709999,560400
2019-08-21,55.380001,55.689999,54.910000,54.980000,54.980000,490800
2019-08-22,55.040001,55.230000,54.570000,54.930000,54.930000,431400
2019-08-23,54.599998,54.820000,52.820000,52.990002,52.990002,1038100
2019-08-26,53.830002,53.970001,52.830002,53.029999,53.029999,415900
2019-08-27,53.610001,53.980000,52.000000,52.020000,52.020000,459500
2019-08-28,51.750000,52.639999,51.049999,52.439999,52.439999,517400
2019-08-29,53.310001,53.840000,53.060001,53.160000,53.160000,499100
2019-08-30,53.680000,53.910000,53.189999,53.639999,53.639999,741600
2019-09-03,52.970001,53.189999,52.020000,52.549999,52.549999,434000
2019-09-04,53.189999,53.990002,52.910000,53.220001,53.220001,467700
2019-09-05,54.009998,55.340000,53.869999,54.560001,54.560001,459600
2019-09-06,54.709999,55.250000,54.130001,54.779999,54.779999,585200
2019-09-09,55.160000,55.849998,54.450001,54.619999,54.619999,754100
2019-09-10,54.610001,54.709999,53.880001,54.680000,54.680000,712100
2019-09-11,54.970001,56.070000,54.639999,55.340000,55.340000,614700
2019-09-12,56.500000,56.650002,55.200001,56.200001,56.200001,740200
2019-09-13,56.220001,56.580002,55.570000,55.580002,55.580002,533500
2019-09-16,54.980000,56.320000,54.529999,55.720001,55.720001,511600
2019-09-17,55.459999,55.570000,54.119999,54.330002,54.330002,612300
2019-09-18,54.740002,55.330002,54.070000,54.849998,54.849998,824700
2019-09-19,55.180000,55.990002,54.900002,54.939999,54.939999,389500
2019-09-20,54.849998,54.959999,53.369999,54.459999,54.459999,1140000
2019-09-23,54.430000,55.410000,54.119999,54.709999,54.709999,365200
2019-09-24,54.919998,55.650002,53.759998,53.860001,53.860001,570000
2019-09-25,53.599998,54.939999,53.220001,54.730000,54.730000,395400
2019-09-26,54.459999,54.820000,53.919998,54.169998,54.169998,229600
2019-09-27,54.099998,54.660000,53.139999,53.200001,53.200001,470300
2019-09-30,53.310001,53.820000,53.099998,53.580002,53.580002,303100
2019-10-01,53.750000,54.480000,52.669998,52.950001,52.950001,454000
2019-10-02,52.599998,52.950001,51.959999,52.090000,52.090000,630300
2019-10-03,52.049999,53.540001,51.590000,53.259998,53.259998,512400
2019-10-04,54.500000,54.650002,53.230000,54.580002,54.580002,663800
2019-10-07,54.230000,55.759998,54.230000,55.279999,55.279999,1020800
2019-10-08,54.959999,54.959999,52.830002,52.860001,52.860001,636500
2019-10-09,53.490002,54.000000,53.169998,53.770000,53.770000,579000
2019-10-10,53.889999,54.910000,53.750000,54.270000,54.270000,447500
2019-10-11,55.320000,56.619999,55.099998,56.110001,56.110001,700400
2019-10-14,55.759998,55.939999,55.200001,55.220001,55.220001,493300
2019-10-15,55.299999,56.240002,55.080002,55.320000,55.320000,543600
2019-10-16,55.290001,55.630001,54.430000,54.549999,54.549999,587100
2019-10-17,56.619999,57.290001,55.880001,56.439999,56.439999,754500
2019-10-18,56.360001,56.919998,55.320000,56.040001,56.040001,379900
2019-10-21,56.599998,57.900002,56.599998,57.500000,57.500000,591700
2019-10-22,57.520000,57.660000,55.740002,56.099998,56.099998,582900
2019-10-23,55.740002,56.130001,54.970001,55.360001,55.360001,445300
2019-10-24,56.090000,56.279999,55.450001,55.590000,55.590000,542700
2019-10-25,55.619999,56.720001,55.400002,56.090000,56.090000,489500
2019-10-28,56.369999,57.799999,56.360001,57.750000,57.750000,568900
2019-10-29,57.709999,58.240002,57.150002,58.029999,58.029999,584600
2019-10-30,58.639999,58.720001,57.500000,58.490002,58.490002,1038000
2019-10-31,60.689999,69.260002,60.400002,67.959999,67.959999,3412100
2019-11-01,68.760002,72.519997,68.180000,72.430000,72.430000,2003500
2019-11-04,72.239998,72.250000,67.570000,68.010002,68.010002,2209600
2019-11-05,67.769997,70.440002,67.660004,70.220001,70.220001,1549800
2019-11-06,69.459999,69.910004,68.339996,68.559998,68.559998,880400
2019-11-07,69.269997,69.919998,68.510002,68.750000,68.750000,1120700
2019-11-08,68.930000,71.169998,68.669998,71.129997,71.129997,627200
2019-11-11,70.169998,70.970001,69.769997,70.739998,70.739998,534000
2019-11-12,70.930000,72.430000,70.800003,71.980003,71.980003,821600
2019-11-13,71.209999,72.139999,70.290001,71.949997,71.949997,554900
2019-11-14,71.949997,72.730003,71.320000,72.260002,72.260002,567500
2019-11-15,72.970001,73.500000,72.500000,72.709999,72.709999,736200
2019-11-18,72.599998,72.910004,72.050003,72.239998,72.239998,505800
2019-11-19,72.349998,72.639999,71.760002,71.790001,71.790001,372700
2019-11-20,71.500000,72.260002,69.910004,70.470001,70.470001,639700
2019-11-21,70.510002,70.720001,69.370003,69.639999,69.639999,601600
2019-11-22,70.160004,70.610001,69.220001,69.570000,69.570000,345400
2019-11-25,70.000000,71.849998,69.580002,71.440002,71.440002,701100
2019-11-26,71.370003,72.370003,70.959999,72.250000,72.250000,882200
2019-11-27,72.449997,73.139999,72.279999,72.809998,72.809998,284400
2019-11-29,72.500000,72.529999,71.500000,71.699997,71.699997,257500
2019-12-02,71.720001,72.000000,70.599998,70.860001,70.860001,628300
2019-12-03,69.220001,70.779999,68.500000,70.669998,70.669998,733000
2019-12-04,71.500000,71.930000,70.870003,71.290001,71.290001,775700
2019-12-05,71.519997,72.199997,71.169998,72.099998,72.099998,650600
2019-12-06,73.239998,74.419998,73.150002,74.120003,74.120003,791400
2019-12-09,73.779999,74.349998,73.750000,73.849998,73.849998,468500
2019-12-10,73.970001,74.570000,73.739998,74.239998,74.239998,382900
2019-12-11,74.570000,76.000000,74.169998,75.889999,75.889999,365300
2019-12-12,75.290001,76.930000,73.720001,76.559998,76.559998,711600
2019-12-13,76.080002,77.769997,76.050003,76.940002,76.940002,344500
2019-12-16,77.540001,78.360001,77.290001,77.570000,77.570000,387700
2019-12-17,78.089996,78.470001,77.750000,78.129997,78.129997,531700
2019-12-18,78.059998,78.779999,77.419998,78.589996,78.589996,506200
2019-12-19,78.570000,81.900002,77.970001,81.199997,81.199997,1572300
2019-12-20,81.449997,81.879997,80.440002,81.010002,81.010002,1692100
